id,count
0,38267.783640638794
1,38209.26367175526
2,38013.823939660186
3,37934.169055406324
4,38045.33597992343
5,37996.51105620626
6,37908.4471844105
7,37824.17265241312
8,37666.69637284113
9,37489.90810476543
10,37470.23520964992
11,37297.273859345696
12,37232.76570036604
13,37303.41272058773
14,36998.528184157694
15,36673.45687562853
16,36425.46280359212
17,36306.78940954083
18,36148.569977054605
19,36290.913685961845
20,36240.201600754954
21,36294.25237748839
22,36395.81593847115
23,38307.57447477863
24,38280.59478352622
25,38224.80816310612
26,38121.788689187364
27,38009.08171443707
28,38051.273730752
29,38016.86926433486
30,37929.31934137352
31,37868.84251571578
32,37679.8080676613
33,37556.56259110175
34,37277.23280068656
35,37214.005094968146
36,36841.00527341072
37,36634.294089407136
38,36566.938123625776
39,36326.213629007514
40,35987.74171355645
41,36049.72474771635
42,36397.810948024606
43,36645.70651260234
44,36769.05854391107
45,36905.467232320545
46,37165.83451656554
47,38544.05905317741
48,38656.714726450155
49,38586.614059777596
50,38470.326615529804
51,38396.51054354083
52,38407.328760548335
53,38434.5865862811
54,38241.89054916584
55,38328.026088958504
56,38279.09611935898
57,38342.198229863905
58,38028.601136225334
59,37858.62554627539
60,37672.11766005691
61,37454.59019901774
62,37751.21857457592
63,37429.225785795046
64,37287.3558611201
65,36974.54294720742
66,37279.868000945346
67,37273.51861683398
68,37670.48765261134
69,38030.76298335652
70,37975.17143788203
71,39371.82944315985
72,39333.11055123448
73,39321.93078095783
74,39245.23938330758
75,39082.81100230035
76,39096.75595094866
77,38943.4970264423
78,39119.67952035002
79,38695.31700451305
80,37423.49618675919
81,36733.586733731136
82,36042.307947991365
83,36036.69984867297
84,35724.31825516474
85,35523.575789688126
86,35089.08259723203
87,34988.90237986861
88,35093.11385870328
89,35323.51949943437
90,35802.10947314324
91,36678.94476854395
92,36972.286616262754
93,37206.8108171977
94,37511.566668829415
95,39465.941644178645
96,39557.68169074914
97,39431.162906899146
98,39381.47081577206
99,39395.6395078385
100,39491.85205169635
101,39501.44183542793
102,39343.703228553415
103,39051.60274725608
104,37812.938994030046
105,36981.20811562282
106,36633.914070480154
107,36538.8559535652
108,36485.15200068522
109,36131.234173192715
110,35628.75653593175
111,35640.449536534805
112,35462.42565010241
113,35759.82024268432
114,36469.052102583184
115,36769.33337325424
116,37189.67928518486
117,37590.73224907616
118,37579.80877063403
119,39614.11611806028
120,39506.08512208752
121,39439.6949748763
122,39338.73021853293
123,39239.51617899377
124,39414.75440957387
125,39313.24294042749
126,39426.614894411934
127,38991.19504207636
128,37922.49523896926
129,37193.54234391294
130,36811.20328239382
131,36594.31795203166
132,36597.14118585682
133,36327.21932477647
134,35971.49854494201
135,35553.90825522557
136,35824.937409118254
137,35864.693323765154
138,36560.06566562735
139,36994.98960368149
140,37396.10220374398
141,37619.835490978876
142,37864.660583098754
143,39591.750757591406
144,39612.12304847858
145,39537.70407635413
146,39424.63734460491
147,39448.77476156794
148,39470.03922394622
149,39255.01001552459
150,39203.29446192374
151,38803.10076185325
152,37874.20955557102
153,37145.405679092015
154,37013.77499760823
155,36918.912171191325
156,36723.81337118332
157,36487.76298722141
158,36173.193967694024
159,35836.2861724969
160,36090.80293279512
161,36258.42979166053
162,37012.35113013289
163,37483.119568511465
164,37653.901540087114
165,37779.651807687726
166,37911.96959845474
167,39908.09197731472
168,39845.51351550345
169,39686.807724893486
170,39652.64359943135
171,39598.07427541173
172,39712.25318582829
173,39648.08215084292
174,39647.32247224286
175,39228.50410850455
176,38078.4287379775
177,37462.656961157874
178,36977.37214464962
179,36739.72782234817
180,36696.281003510696
181,36297.90620666169
182,35873.714480197
183,35855.452375709734
184,35795.18765363927
185,35817.24434303402
186,36306.27409554097
187,37084.977640133366
188,37204.02120955108
189,37762.61281951645
190,37913.526318075325
191,39858.628371759274
192,39710.581504913775
193,39596.90899899672
194,39523.0659829545
195,39347.57318495927
196,39425.01003474948
197,39305.735249429534
198,39327.82649906319
199,39286.34393763321
200,39004.73094407085
201,38589.22935736245
202,38364.8558075715
203,38287.21023118218
204,38205.533752575575
205,37836.42508341248
206,37480.99759857908
207,37841.505797795166
208,37355.631445401705
209,37291.33301893249
210,37516.06417019812
211,37409.50352917391
212,37615.56216413315
213,38207.24085593877
214,38037.15425648935
215,39383.57604446609
216,39585.5536253436
217,39360.0173857669
218,39326.53929182594
219,39296.365472874095
220,39372.72808122381
221,39249.0323874972
222,39178.6802429943
223,39222.033871332926
224,39123.99796950353
225,38991.65632426802
226,38853.25255445413
227,38787.01588057031
228,38538.39059917972
229,38484.03625277965
230,38279.32747896291
231,38095.670489130905
232,37999.29987349391
233,37561.31106734514
234,37658.13750451227
235,37700.535157841616
236,37787.27790881828
237,38095.57686752714
238,38177.45301953111
239,39610.58256714069
240,39716.783810419794
241,39614.95152741269
242,39619.67866396584
243,39560.53194047827
244,39471.73669930113
245,39352.05193326684
246,39474.0143699359
247,39108.076548810306
248,37975.98615420154
249,37235.87145157074
250,36857.131037803876
251,36666.365703768446
252,36275.90742901873
253,36199.3568589534
254,35944.11339957635
255,35242.31314066897
256,35348.21605939055
257,35950.93764568215
258,36552.100428679725
259,36924.21203054045
260,37294.62551038899
261,37715.658890856896
262,37893.08354154499
263,39842.36666563612
264,39727.879443399564
265,39649.425617263434
266,39567.9549912236
267,39468.548607069555
268,39541.87544690228
269,39354.111752249875
270,39557.18132171763
271,39446.31926018164
272,38060.05835432156
273,37329.65809657553
274,37315.68476685771
275,37093.3744130378
276,37181.699893628
277,36532.26127079304
278,36250.036683147264
279,35595.513825240065
280,35317.09395346581
281,35824.78795943623
282,36440.49622014099
283,36530.6480764367
